Date,AAPL,AMZN,BAC,CA,CHD,MS,MSFT,TSLA
2015-01-02,103.86647,308.519989,17.21365,28.007423,37.313557,36.674358,43.555,219.309998
2015-01-05,100.940392,302.190002,16.713585,28.089561,36.898384,35.527985,43.154472,210.089996
2015-01-06,100.94989,295.290009,16.213526,27.624136,36.591724,34.50478,42.521076,211.279999
2015-01-07,102.36544,298.420013,16.290461,27.943546,37.00219,34.997433,43.061325,210.949997
2015-01-08,106.298531,300.459991,16.627039,28.390715,37.733452,35.518501,44.328106,210.619995
2015-01-09,106.412552,296.929993,16.328924,28.399837,37.610786,34.940586,43.955528,206.660004
2015-01-12,103.790474,291.410004,16.040428,28.536728,37.502277,34.457401,43.40596,202.210007
2015-01-13,104.711998,294.73999,15.819246,28.500223,37.587185,34.135284,43.182419,204.25
2015-01-14,104.312988,293.269989,15.424968,28.345087,37.823093,33.35841,42.80983,192.690002
2015-01-15,101.481903,286.950012,14.617176,28.089561,38.129749,32.761539,42.362728,191.869995
2015-01-16,100.693382,290.73999,14.790275,28.618862,38.846863,33.055229,43.070637,193.070007
2015-01-20,103.286957,289.440002,14.674876,28.901766,38.917633,32.922596,43.210358,191.929993
2015-01-21,104.075485,297.25,14.819122,27.322981,38.82328,32.903645,42.772564,196.570007
2015-01-22,106.783058,310.320007,15.473051,27.870541,39.342251,33.661579,43.899639,201.619995
2015-01-23,107.334084,312.390015,15.126853,28.299458,38.681744,33.301559,43.946213,201.289993
2015-01-26,107.448074,309.660004,15.242251,28.153439,39.040295,33.263664,43.787861,206.550003
2015-01-27,103.685966,306.75,15.030689,27.322981,38.695889,32.83733,39.736023,205.979996
2015-01-28,109.547638,303.910004,14.617176,27.277351,38.502457,32.086704,38.366768,199.369995
2015-01-29,112.958244,311.779999,14.838358,27.651516,39.002544,32.656803,39.130566,205.199997
2015-01-30,111.305183,354.529999,14.569091,27.651516,38.176926,32.12471,37.63092,203.600006
2015-02-02,112.701721,364.470001,14.867206,27.751898,38.724201,32.704304,38.450603,210.940002
2015-02-03,112.720718,363.549988,15.280721,28.454596,39.011997,33.293404,38.748669,218.360001
2015-02-04,113.585258,364.75,15.184553,28.755751,39.441319,33.036858,38.972233,218.550003
2015-02-05,114.395966,373.890015,15.357653,29.002148,39.266758,33.188885,39.540409,220.990005
2015-02-06,113.43264,374.279999,15.857716,29.230297,38.981384,34.006027,39.503155,217.360001
2015-02-09,114.186127,370.559998,15.723083,29.15729,38.914803,33.853992,39.456585,217.479996
2015-02-10,116.379814,373.0,15.790398,29.467573,39.423706,34.357574,39.680126,216.289993
2015-02-11,119.107613,375.140015,15.732697,29.339809,39.594933,34.557106,39.475208,212.800003
2015-02-12,120.614594,377.170013,16.030811,29.577085,39.647251,35.060688,40.136551,202.880005
2015-02-13,121.205933,381.829987,15.973111,29.777855,39.965912,34.946667,40.863087,203.770004
2015-02-17,121.921249,375.429993,15.992346,29.961781,40.103844,35.079689,40.881844,204.350006
2015-02-18,122.770134,373.369995,15.674998,29.970976,40.31786,34.557106,40.834942,204.460007
2015-02-19,122.512596,379.0,15.588448,29.906603,40.056271,34.519104,40.806797,211.710007
2015-02-20,123.514084,383.660004,15.751932,30.191689,40.60323,34.908665,41.144508,217.110001
2015-02-23,126.85228,380.140015,15.578835,29.970976,40.855309,34.462093,41.416557,207.339996
2015-02-24,126.060654,378.589996,15.751932,30.072134,40.96946,34.908665,41.360271,204.110001
2015-02-25,122.836899,385.369995,15.857716,30.449188,40.679333,34.766148,41.266464,203.759995
2015-02-26,124.391541,384.799988,15.424968,30.182495,40.641281,34.262562,41.33213,207.190002
2015-02-27,122.522156,380.160004,15.203788,29.906603,40.493839,34.006027,41.135124,203.339996
2015-03-02,123.123016,385.660004,15.396117,30.200884,40.684086,34.43359,41.163273,197.330002
2015-03-03,123.380539,384.609985,15.424968,29.612316,40.660301,34.034523,40.600418,199.559998
2015-03-04,122.598434,382.720001,15.280269,29.345623,40.374939,33.340904,40.394043,202.440002
2015-03-05,120.56691,387.829987,15.434614,29.391605,40.550915,33.749477,40.440945,200.630005
2015-03-06,120.748108,380.089996,15.646836,29.161694,39.842243,33.75898,39.737381,193.880005
2015-03-09,121.263153,378.559998,15.598606,29.299637,40.270298,33.891994,40.197037,190.880005
2015-03-10,118.754723,369.51001,15.232034,28.79384,39.766148,33.141384,39.427807,190.320007
2015-03-11,116.589638,366.369995,15.540729,28.711071,39.970661,33.207893,39.380898,193.740005
2015-03-12,118.697479,374.23999,15.521433,29.060534,40.389202,35.241219,38.480343,191.070007
2015-03-13,117.877243,370.579987,15.521433,28.867411,40.122864,34.538101,38.81805,188.679993
2015-03-16,119.174377,373.350006,15.560019,28.876604,40.665066,34.899162,38.986904,195.699997
2015-03-17,121.16777,371.920013,15.521433,29.014553,40.432014,34.72813,39.11824,194.729996
2015-03-18,122.531677,375.140015,15.41532,29.76866,40.579456,34.899162,39.86871,200.710007
2015-03-19,121.606522,373.23999,15.058394,29.750259,40.588959,34.310066,39.671715,195.649994
2015-03-20,120.080482,378.48999,15.280269,30.256063,40.96946,34.680626,40.225189,198.080002
2015-03-23,121.329918,375.109985,15.164508,30.394009,40.988483,34.500103,40.206421,199.630005
2015-03-24,120.833961,374.089996,15.058394,30.246868,40.669819,34.43359,40.24395,201.720001
2015-03-25,117.676964,370.959991,14.865461,29.318029,40.422501,33.682964,38.893097,194.300003
2015-03-26,118.497215,367.350006,14.87511,29.272049,40.046764,33.844494,38.658577,190.410004
2015-03-27,117.552971,370.559998,14.768997,29.695086,40.412987,34.044029,38.433437,185.0
2015-03-30,120.528755,374.589996,14.971576,30.081331,40.869568,34.500103,38.424053,190.570007
2015-03-31,118.678413,372.100006,14.84617,29.989367,40.627014,33.911003,38.142635,188.770004
2015-04-01,118.506744,370.26001,14.865461,29.547945,40.617504,34.177048,38.198917,187.589996
2015-04-02,119.527283,372.25,14.990869,29.364017,40.793476,34.262562,37.795536,191.0
2015-04-06,121.46344,377.040009,14.961928,29.78705,41.017021,34.120037,38.977528,203.100006
2015-04-07,120.185402,374.410004,14.913694,29.676693,40.688847,34.148537,38.958767,203.25
2015-04-08,119.794342,381.200012,15.058394,29.704281,40.893364,34.452591,38.855576,207.669998
2015-04-09,120.709961,383.540009,15.15486,28.913393,40.869568,34.813652,38.911869,210.089996
2015-04-10,121.225006,382.649994,15.164508,29.014553,40.855309,34.43359,39.137005,210.899994
2015-04-13,120.986565,382.359985,15.241682,28.563929,40.722141,34.490601,39.174526,209.779999
2015-04-14,120.46199,385.109985,15.260974,28.766251,41.173969,35.003677,39.071331,207.460007
2015-04-15,120.919792,383.450012,15.087336,29.253658,40.774452,35.526268,39.643566,207.830002
2015-04-16,120.33799,386.040009,15.232034,29.299637,40.78397,35.497757,39.549763,206.699997
2015-04-17,118.983627,375.559998,15.010162,28.692682,40.455791,34.918171,39.043194,206.789993
2015-04-20,121.701889,389.51001,15.019809,29.152498,40.094326,35.117699,40.253326,205.270004
2015-04-21,121.0438,391.179993,14.952284,29.023748,39.984936,34.918171,40.000038,209.410004
2015-04-22,122.674751,389.799988,15.1838,29.336424,39.832737,35.345734,40.328373,219.440002
2015-04-23,123.676208,389.98999,15.135567,29.492765,39.870785,35.516762,40.656704,218.600006
2015-04-24,124.257996,445.100006,15.087336,29.649105,39.92786,35.497757,44.906242,218.429993
2015-04-27,126.518456,438.559998,15.010162,29.198477,39.713837,35.203209,45.056332,231.550003
